"","C1","C2","C3","E1","E2","E3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","delabel"
"RAP2A",1899.44046446707,1972.85167594589,2090.44343326683,1508.58878541055,1516.69138527662,1445.47743514558,1738.91552991876,-0.416629270277711,0.0711908788455079,-5.85228440825745,4.84866553346674e-09,1.63249728337825e-08,"DOWN",NA
"RP11-120E13.1",11.8311693709727,9.82495854554727,13.4400418558204,18.9409227119492,8.95463548502802,12.8550364785674,12.6411274079808,0.214009867091061,0.611628581374593,0.349901678253964,0.72641248749047,0.779421240240228,"NO",NA
"IPO5",8383.99684061199,8600.76871077208,8837.34444488867,6971.37372992156,7262.20937835772,7028.84827900336,7847.4235639259,-0.280450966938758,0.0519029822802128,-5.40336902848211,6.54007137164664e-08,2.01212837959442e-07,"DOWN",NA
"FARP1",4140.90927984043,3803.24145298135,4181.92071590719,2190.46200304072,2278.95473093963,2169.64449010488,3127.5221121357,-0.869473538781812,0.0639934789283139,-13.5869084372769,4.78884794844389e-42,5.90164114159191e-41,"DOWN",NA
"STK24",4024.74870783452,3975.17822752843,4015.47096676972,3169.81912444092,3056.88868870144,3028.07525939588,3545.03016244515,-0.377075220627215,0.0568960551109661,-6.62744051220763,3.41557208987352e-11,1.33193455228841e-10,"DOWN",NA
"STK24-AS1",16.1334127785991,19.6499170910945,5.16924686762323,6.68503154539385,12.3126237919135,5.71334954602996,10.943930270109,-0.750565235799968,0.708641520967459,-1.0591606808126,0.289526608444544,0.36383031602885,"NO",NA
"DOCK9",2535.09692794387,2297.07530794895,2314.78874732168,1250.10089898865,1220.06908483507,1246.22436972779,1810.55922279433,-0.942911757480617,0.0714972369769189,-13.1880866638946,1.02760336221612e-39,1.17768552242056e-38,"DOWN",NA
"UBAC2-AS1",55.9291642991435,72.7046932370498,72.3694561467252,105.846332802069,139.916179453563,118.552003080122,94.2196381697787,0.855031987925022,0.237848158497852,3.59486486389065,0.000324559999556199,0.000700004598678214,"UP",NA
"UBAC2",2516.81239346146,2704.81108758916,2475.035400218,2393.241293251,2188.28904665372,2278.9123001727,2426.18358689101,-0.166210138160139,0.0677778322949731,-2.4522787544574,0.0141954645341318,0.0241966357680313,"NO",NA
"GPR18",51.6269208915171,56.0022637096194,58.9294142909048,44.5668769692923,47.0118362963971,48.5634711412547,51.1167972164976,-0.247015844206736,0.299179340101252,-0.825644725745896,0.409005655897704,0.486655344863583,"NO",NA
