"","A1","A2","A3","B1","B2","B3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RAB11A",3993.79025606233,3603.61930945138,4309.93283386174,4010.66965818114,3759.31268700694,3838.21087187584,3919.25593607323,0.0368783097603337,0.0938922885117454,0.392772509275034,0.694487510676146,0.866782511175377
"MEGF11",17.94961912837,28.9357943316047,28.6238423501254,11.9069856254759,36.508027173523,11.5446487022534,22.5781528852254,0.347447224495118,0.533486142896805,0.651276943405682,0.514867729203183,NA
"DIS3L",919.917980328962,869.18674511474,765.687782865855,918.822390765891,993.829628612572,1012.85051281103,913.382506749842,-0.196579391171217,0.110280820272434,-1.7825347207755,0.0746620744018938,0.281193428094766
"TIPIN",657.404800576551,674.426590959709,893.472793357487,602.295022888657,524.295834686428,601.091375763992,658.831069705471,0.365363359684999,0.144484421799806,2.52873877428278,0.011447319201685,0.0872574243699035
"MAP2K1",1943.04627064605,1996.56980888072,1921.88655779414,1739.41215012161,1778.75221284332,1892.55274392274,1878.70329070143,0.114789408686056,0.0844471388157366,1.35930488937614,0.174049995347875,0.448544061504361
"CTD-3185P2.1",39.2647918433094,36.7262004978059,61.3368050359831,41.6744496891657,27.3810203801423,23.8589406513236,38.3737013496217,0.574714438479975,0.372994890968085,1.5408104839944,0.123362917099408,0.371926719017818
"SNAPC5",721.350318721369,759.008143621323,954.80959839347,986.295309310255,834.614065661374,872.775441890355,854.808812933024,-0.144596870253794,0.13439894499841,-1.07587801567568,0.281981815190143,0.573808824656974
"RPL4",51311.2299808367,50571.9780854788,64340.2639225784,52741.0005792434,48499.8999881594,48581.4210255758,52674.2989303121,0.149892796937195,0.109577587415562,1.36791473943245,0.171338765522247,0.446353462794554
"ZWILCH",2303.16050440898,2186.87830236935,2328.75403119949,2059.90851320733,2069.80231836557,2034.93674458386,2163.9067356891,0.145713984201581,0.0799271995919242,1.82308381809368,0.0682906970544713,0.267386272022409
"LCTL",104.332161183651,93.4848739944151,96.0943278897068,75.4109089613475,85.1853967382204,66.9589624730695,86.911105206735,0.373910732402633,0.225050105064527,1.66145548919172,0.0966220013323074,0.326530379567149
"SMAD6",815.585819145312,866.96091478154,915.962955204014,812.651768938731,868.079757237104,865.848652669003,857.514977995951,0.0292382642302388,0.101109303918399,0.289174814751328,0.772447603833955,0.907444101834664
"RP11-622C24.2",47.1177502119712,42.2907763308068,22.4901618465271,58.5426793252566,48.6773695646974,67.7286057198864,47.8078904998576,-0.654476779568887,0.342297451562588,-1.91201183818694,0.0558746756550995,0.237244926042858
"SMAD3",2416.46747515681,2400.55801435659,2179.50113894526,2065.86200602007,2164.11472189717,2158.07966407456,2230.76383674174,0.13091074285491,0.0865565642198647,1.51242998188306,0.130424512442875,0.383631933687016
"AAGAB",1778.13414490415,1661.58234373407,1779.78962612744,2301.02497212322,2313.18916618906,2323.5529621402,2026.21220253636,-0.410498504374683,0.0816337783449281,-5.02853736158333,4.9423522401714e-07,2.74773753267401e-05
"IQCH",53.84885738511,67.887825162611,40.891203357322,41.6744496891657,52.7338170284222,50.7964542899148,51.3054344854243,0.15912471754872,0.305063790719284,0.52161129045677,0.601941000611651,0.815083504560134
"IQCH-AS1",90.8699468373731,113.517346993218,79.737846546778,81.3644017740854,158.201451085267,100.053622086196,103.957435887153,-0.255903214530699,0.27787751575626,-0.920920909467049,0.357091721045267,0.644684739579741
"C15orf61",185.105447261316,133.549819992022,180.94357485615,181.581530788508,122.707535777675,113.9072005289,152.965851534095,0.260648389432648,0.229617902212479,1.13513966864593,0.256316802993882,0.548648648089228
"MAP2K5",509.320442767499,478.553521638077,563.276326247111,633.054735754469,565.874421189607,676.516413952048,571.099310258135,-0.274676861357254,0.124588852297399,-2.20466643918982,0.0274775098194701,0.153416096492041
