"","E1","E2","E3","F1","F2","F3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LRRN2",11.4854094847765,6.8421731476821,13.8081303340853,16.5724062032179,6.73888887138552,9.67389661515979,10.8534841093845,-0.00915718293085451,0.653702593676563,-0.0140081789783831,0.988823455796542,NA
"TMEM81",27.5649827634636,43.3337632686533,29.7964917735524,28.0456104977534,21.9013888320029,27.0869105224474,29.6215246096455,-0.387595892653822,0.391990757433947,-0.988788345906688,0.322766707359719,NA
"RBBP5",2222.42673530425,2415.28712113178,2223.83572748952,2183.73321739326,2135.38541112029,2283.03960117771,2243.95130226947,-0.0548343819715172,0.061696051409097,-0.888782680886963,0.374119885470201,0.958487826047457
"DSTYK",2150.06865555016,1851.94819863929,2095.92883597378,1942.79592720801,1979.5486059695,1910.59458149406,1988.4808008058,-0.0648201028915632,0.0677403573039257,-0.95689047816414,0.338622537732685,0.945306692299434
"TMCC2",1566.60985372351,1309.13579558984,1202.760826469,1388.25771963879,1401.68888524819,1259.5413392938,1354.66573666052,-0.00751046615002789,0.0903003405281061,-0.0831720689656784,0.93371472150765,0.996722594617987
"NUAK2",48.2387198360612,41.0530388860926,71.2208827758081,68.839225767213,65.7041664960088,50.3042623988309,57.5600493600024,0.181354220193572,0.299907889298448,0.604699731700289,0.545378526453582,0.977162433545543
"SNRPGP10",372.127267306758,390.00386941788,345.203258352131,451.279368918396,387.486110104668,386.955864606392,388.842623117704,0.145668218509935,0.117513056803058,1.2395917736534,0.215126424908804,0.919880030120185
"BLACAT1",22.970818969553,37.6319523122515,38.5174161950799,52.266819563995,27.7979165944653,40.6303657836711,36.635881569836,0.257972528253997,0.373854754551161,0.690034097770699,0.490172744763785,NA
"CDK18",606.429620796198,668.252244090285,610.464709506927,502.27138800522,614.923609513929,593.977252170811,599.386470680562,-0.13345885221916,0.102104517691646,-1.30708077601623,0.191185279450474,0.90610319466995
"MFSD4A",18.3766551756424,18.2457950604856,23.2557984574067,20.3968076347298,10.9506944160015,26.1195208609314,19.5575452675329,-0.0800875810773908,0.492849689217347,-0.162498998841961,0.87091291660708,NA
"ELK4",1340.34728687342,1525.80461193311,1455.6676346933,1393.35692154748,1360.41319091095,1327.25861559992,1400.4747102597,-0.0838473955549543,0.0713850906254905,-1.17457854042443,0.240163372888335,0.933467684727124
"SLC45A3",171.13260132317,246.318233316556,194.767312080781,163.174461077838,192.058332834487,174.130139072876,190.263513284285,-0.203454341892125,0.171138369952986,-1.18882949480012,0.234506769028118,0.933367707076478
"NUCKS1",7075.01224262231,7511.56575396366,6679.50136318829,6677.40489941966,6484.49581649072,6973.91206986869,6900.31535759222,-0.0781076801996973,0.0541637977990424,-1.44206431922464,0.149284229631591,0.874836733085917
"RAB29",965.922937669702,980.711484501101,946.947043437531,985.420768852882,964.503469717053,857.107240103157,950.102157380238,-0.0442341414353778,0.0815545320343763,-0.542387287768785,0.587551735133458,0.982626778016776
"SLC41A1",1225.49319202565,1403.78585746611,1461.48158430765,1301.57128719119,1274.49235780079,1394.00850224453,1343.47213017265,-0.0456337796647026,0.0791717916019724,-0.576389377344415,0.56435202286105,0.979916064362825
"RP4-681L3.3",67.7639159601812,128.86092761468,87.2092442152753,62.4652233813599,67.3888887138552,55.1412107064108,78.138235098627,-0.613154065043685,0.270377209896273,-2.26777273601911,0.0233430619597082,0.60666324115753
"CTSE",34.4562284543294,36.4915901209712,31.9767228789343,28.0456104977534,26.9555554855421,25.1521311994155,30.5129731061576,-0.358682051525266,0.372810785568754,-0.962102131723648,0.335998303414441,NA
"FAM72A",129.785127177974,173.335053074613,172.238257325169,138.953252011597,164.260416240022,210.890946210483,164.91050867331,0.114005891687743,0.191743336907232,0.594575506646684,0.55212725650837,0.978344753442517
"SRGAP2",6130.91158297368,6330.15052379722,6867.00123825113,6557.57365456562,6389.3090111824,6857.82531048678,6522.12855354281,0.0340981931299884,0.0543555829853329,0.62731721853097,0.530451318858612,0.975774199729711
"IKBKE",326.185629367652,273.686925907284,291.424224419378,294.478910226411,293.14166590527,300.858184731469,296.629256759577,-0.00330240427659945,0.128305371913455,-0.0257386283002008,0.979465813125763,0.999296919137483
"EIF2D",2102.97847666257,1942.03681175044,2063.22536939305,2067.72637397073,2168.23749436829,2070.2138756442,2069.06973363155,0.0462964284884379,0.0611945136790138,0.756545410774543,0.449322256686627,0.971148503114056
"DYRK3-AS1",11.4854094847765,15.9650706779249,13.0813866322913,26.7708100205828,13.477777742771,22.2499622148675,17.171736128869,0.610090488171803,0.517614585150323,1.17865783862065,0.23853445048355,NA
"DYRK3",2603.74233019883,2369.67263348057,2404.79490923622,2508.80733907176,2583.52152106742,2471.68058517333,2490.36988637135,0.0369838309578398,0.0595458829950405,0.621098035626076,0.534535121666987,0.975774199729711
"MAPKAPK2",3828.086981276,3746.08979835595,3814.6776907165,3889.41625584753,3870.64929550206,3838.6021768954,3831.25369976557,0.0260698461525195,0.0486846365099393,0.535484046331477,0.592315186519852,0.982932498909294
"RP11-343H5.4",13.7824913817318,5.70181095640175,10.9011555269094,22.946408589071,8.4236110892319,10.6412862766758,12.0661273033369,0.433091090862458,0.642656760366209,0.673907313471141,0.5003702421912,NA
"IL20",59.7241293208377,62.7199205204192,85.7557568116873,63.7400238585305,85.0784720012422,60.9455486755067,69.6606418647039,0.00450160913230461,0.269010784714528,0.0167339355449324,0.986648874297406,0.999296919137483
"IL24",1576.94672225981,1684.31495652108,1805.95809895799,2095.77198446848,2164.8680499326,2230.80055945585,1926.44339526597,0.355433224221913,0.0670150271359562,5.3037839334278,1.13426557667165e-07,0.000185395708506982
"FCMR",2903.51151775149,2818.97533684503,3148.98045987323,3054.42194330078,3430.93679664415,3358.77690478348,3119.26715986636,0.149916433576784,0.0633824223361726,2.36526828813273,0.0180170137215449,0.56496515928758
"RP11-564A8.8",19.52519612412,23.9476060168873,12.3546429304973,22.946408589071,20.2166666141566,13.5434552612237,18.755662589326,0.036400492519292,0.498589249640505,0.0730069742689751,0.94180056765936,NA
"RP11-564A8.4",181.469469859468,174.475415265894,215.842879432806,228.189285413539,216.48680499326,192.51054264168,201.495732934441,0.14596749481993,0.158463475884988,0.921142831209084,0.356975860925392,0.949880508111599
