"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RP11-452N17.1",11.2072297835811,-0.153000846738122,0.645928372965201,-0.236869679583444,0.812757892848033,NA
"COBLL1",838.849121618992,-0.0457354915594303,0.0886042672051282,-0.516177075913825,0.605730739619463,0.986790510906638
"SCN3A",41.110705153861,0.0535827353835661,0.370588861702829,0.144588089176122,0.885036101867376,0.995551787914465
"SCN2A",118.603882938898,-0.0540625323168517,0.226184479195936,-0.239019637903709,0.811090355174494,0.995551787914465
"CSRNP3",118.557621979896,0.148029593161412,0.200184349478143,0.739466364614954,0.459623856769565,0.972674597572207
"GALNT3",3698.66238333405,0.0831178082054208,0.058548333858963,1.41964429603827,0.15571126268371,0.885542260038156
"AC009495.2",55.9367017000794,0.207779357706157,0.289286096601199,0.718248682350592,0.472603965818943,0.974959963338667
"AC009495.4",150.202377762225,-0.143486178294886,0.186288990858536,-0.770234341995264,0.44116089601412,0.97200133380803
"AC009495.3",395.910149940073,-0.0217862930135751,0.111285005890564,-0.195770246307929,0.844789999418111,0.995551787914465
"TTC21B",3116.9160141759,-0.087019600203298,0.0627059327912373,-1.38774110087807,0.165215895704733,0.894422256766754
"SCN7A",11.8614993096078,0.17046641670949,0.635109844012357,0.268404620581149,0.788387883252535,NA
"XIRP2-AS1",30.3205032696894,-0.13144933347614,0.408679124292897,-0.32164435534498,0.74772213727014,NA
"B3GALT1",31.5344850535875,0.222962131685017,0.380803210232793,0.585504863650482,0.558208297255757,NA
"STK39",1217.18794429898,-0.0600932237732501,0.0732262354217439,-0.820651552372526,0.411844774172064,0.968271624609329
"CERS6",428.009254102801,-0.0105786267966988,0.118462182577689,-0.0892996107830542,0.928843803385472,0.995636062789713
"NOSTRIN",45.983630087932,0.0185124497010803,0.332919072861623,0.0556064557730369,0.95565532150139,0.997853111283961
"SPC25",532.900937606688,0.146622089240847,0.104557411305476,1.40231177694784,0.160822165134584,0.891076304206323
"LRP2",184.737360618462,-0.243353649846124,0.171935658923196,-1.41537625976023,0.156958206428049,0.885542260038156
"BBS5",4321.48194721686,0.0592456189004883,0.0541250569184241,1.09460612650776,0.273689230400923,0.945805042729682
"KLHL41",64.4111221956641,-0.446167183116125,0.301436759082527,-1.48013528434325,0.138837146865937,0.869322430687784
"FASTKD1",1161.06762093685,0.113924190556232,0.0754391625279515,1.5101465437666,0.13100603534258,0.86577030927677
"PPIG",4827.34916525143,-0.078011104977056,0.0478786635083192,-1.62935009586266,0.103238926769911,0.833724034473707
"PHOSPHO2",75.5794379233558,0.184660634759454,0.245516371878161,0.752131653570917,0.451971890077371,0.97200133380803
"KLHL23",68.6268627412104,-0.0793653352945003,0.249812467428736,-0.317699657312504,0.750712771184546,0.995551787914465
"SSB",3275.45463502304,-0.046855667658539,0.0538094288278979,-0.870770582018264,0.383879430886382,0.962354934750474
"METTL5",1223.1740876986,-0.0124710101954713,0.0791163326219472,-0.157628769966668,0.87474933182585,0.995551787914465
"UBR3",2684.5978491888,0.101218917137936,0.0718039147155823,1.40965736393158,0.158640879900982,0.88798373056589
"MYO3B",13.454795855435,1.03401203095586,0.634781791732106,1.62892515888709,0.103328863355776,NA
"AC007405.4",9.87773937114509,0.170023282893614,0.666316904074869,0.255168797090145,0.798592729830555,NA
"EIF2S2P4",138.407335080872,0.235689354351746,0.205074157874331,1.14928841739375,0.250437072533062,0.940327867457432
"AC007405.6",55.0323451720779,0.123368563154486,0.331348284361092,0.372322927195373,0.709652430295111,0.992565211983431
"GAD1",878.485498141349,-0.087258469411098,0.0792316676837607,-1.10130799921282,0.270762630892892,0.945805042729682
"GORASP2",2872.59805701569,-0.0581865447041111,0.0586949339747844,-0.991338447183676,0.321520345304393,0.951200475578998
"TLK1",2726.18233213306,0.0146369311740039,0.0556309851535822,0.263107531416085,0.792467699175087,0.995551787914465
"METTL8",754.591456870424,-0.0825084781999649,0.0942897564284852,-0.875052405746155,0.38154539186842,0.962354934750474
"DCAF17",1311.09329140324,0.0300794348624138,0.071367434421506,0.421472834300872,0.673409844014517,0.990489015815528
"RPS15P4",246.511886745467,-0.234028135873579,0.141713051730462,-1.65142259668996,0.0986523138989102,0.829428214051738
"CYBRD1",861.997693331428,0.186166836251032,0.0814092688231628,2.28680147779515,0.022207413204138,0.604761182699216
"DYNC1I2",4023.25093807252,0.0392241043006781,0.0550273639508303,0.712810890518521,0.47596278565729,0.974959963338667
"SLC25A12",1117.64990867527,0.157125425292527,0.0825148597862068,1.90420762635522,0.0568831488918514,0.747364486143604
"HAT1",4027.93787425869,0.0512562807365554,0.0526951396821788,0.972694655440679,0.330705082314803,0.951200475578998
"METAP1D",463.952976646542,0.129393254917057,0.108465545069554,1.19294338892672,0.232891544878219,0.937161802911427
"DLX1",48.5539962914405,0.119065722951627,0.307752802148145,0.386887534802401,0.698839469741512,0.991599612399415
"DLX2",1838.08705625974,-0.0388180404936459,0.0643890829475587,-0.60286680158593,0.546597302706094,0.978955796553835
"DLX2-DT",19.4938787334071,-0.217876607659065,0.492092780727511,-0.442755139258405,0.657942854803971,NA
"ITGA6",271.909148399935,0.041849066838068,0.14172567238746,0.295282189409255,0.767778321059086,0.995551787914465
"PDK1",398.558499256443,0.184630904368546,0.116309643051623,1.58740839989165,0.112420178081015,0.847360341832339
"RAPGEF4",127.268685162599,0.356099891926132,0.208037675592734,1.71170866484421,0.0869503710042271,0.816206122828854
"MAP3K20",965.550969541108,0.0775723831911183,0.0925209242150809,0.838430699317138,0.401788853821238,0.966459226819604
"MAP3K20-AS1",63.3567832555738,-0.114007327383896,0.279779865538741,-0.407489392291919,0.683648583542413,0.990766071512887
