"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TIMM8B",1275.00833291831,-0.440931939124658,0.584319110166789,-0.754608109597506,0.450484156364147,0.747454769346949
"SDHD",3406.79062764255,-0.346015423027491,0.342887677947212,-1.00912177742579,0.312916235014322,0.658942666950315
"PTS",1394.38504113254,-0.939703544263585,0.618565800138364,-1.51916504930177,0.128720956383671,0.574250654029296
"LINC02762",73.0157712139173,-1.11237772112248,0.66579037731929,-1.67076268900327,0.0947685609415294,0.574250654029296
"NCAM1",2108.57762681704,0.099253367252009,0.482512602683271,0.205701087805908,0.83702440878541,0.939420187362526
"TTC12",588.90464667585,-0.859870568648383,0.595276690353166,-1.44448889496788,0.148601501269772,0.574250654029296
"TMPRSS5",70.1557676598352,-0.183577187024936,0.656317436222345,-0.279707923168362,0.779701599069292,0.917101407252593
"ZW10",1100.61334618218,0.0372444842853177,0.335245955650783,0.111095998795924,0.911540221600282,0.972148940518737
"USP28",862.572132459054,0.178660665826661,0.683873570976572,0.261248092350657,0.79390119310974,0.921841544699577
"C11orf71",108.138120871994,-0.921618783491536,0.538564216102279,-1.7112514272885,0.08703470877036,0.574250654029296
"RBM7",901.864037392211,-0.838761399787195,0.504491916069142,-1.66258640241966,0.0963952548260996,0.574250654029296
"REXO2",1906.97992106771,-0.694778628126241,0.432308775490918,-1.60713514856891,0.10802472438955,0.574250654029296
"CADM1",4207.7516635698,0.133842330557718,0.584103454337213,0.229141480954927,0.81875895388285,0.931313419717935
"LINC00900",334.771114138212,-0.00818481682952288,0.365839629849754,-0.0223726905499119,0.982150664681991,0.996065614746292
"BUD13",852.157135737541,-0.630672241005588,0.497082137879548,-1.26874854867228,0.204530761038628,0.58862569544189
"ZPR1",3163.54891356913,-0.214013566287793,0.309769667605179,-0.690879671797199,0.489641161951157,0.771832611492718
"SIK3",1546.4941850013,0.604300785949865,0.58963478833286,1.02487301954905,0.305423106709229,0.653671248667992
"PAFAH1B2",4705.95444550177,-0.684810664244424,0.372823727161975,-1.83682157103404,0.0662362403897475,0.574250654029296
"SIDT2",402.918196380795,0.855598367428631,0.469075609533539,1.82400949876601,0.0681506362212111,0.574250654029296
"PCSK7",1008.06428616101,0.528010474353857,0.391531640880464,1.3485767667882,0.177472947333932,0.579467537106281
"RNF214",581.519219310941,0.254434372035368,0.531718494227577,0.478513301300498,0.632284909423569,0.851114318568018
"BACE1",271.864298610783,0.265417496287252,0.333167681902904,0.79664838669617,0.425655267333126,0.730631597102691
"CEP164",1649.02523511969,0.571757446673721,0.426354360595485,1.34103811176026,0.179908078995073,0.579467537106281
"UBE4A",1483.87789802643,-0.171612714790446,0.624674046009,-0.274723619280916,0.783528583553303,0.918753774402605
"ATP5MG",3594.10409521522,-2.28162248807483,0.867102030366771,-2.63131950816646,0.00850540320628063,0.574250654029296
"KMT2A",2172.68483177501,-0.270777176493191,0.319589243324048,-0.847266239867264,0.396846739594868,0.71165725372123
"IFT46",722.253600378316,-0.492954442946798,0.4263994187559,-1.15608610439734,0.247645939196239,0.614784567512008
"ARCN1",7167.40356368422,-0.0028666793820261,0.90508729712751,-0.00316729600683174,0.997472867641923,0.999600401633531
